time,P,G(i),H_sun,T2m,WS10m,Int
20160106:0909,43.37,1293.57,34.96,19.59,3.2,0.0
20160106:1009,44.63,1353.04,35.43,19.84,2.84,0.0
20160106:1109,41.73,1257.01,32.23,20.1,2.48,0.0
20160106:1209,34.74,1017.88,25.9,20.35,2.12,0.0
20160106:1309,23.11,652.72,17.26,20.23,1.63,0.0
20160106:1409,7.96,234.46,7.05,20.12,1.13,0.0
20160106:1509,0.0,0.0,0.0,20.0,0.63,0.0
20160106:1609,0.0,0.0,0.0,18.48,1.08,0.0
20160106:1709,0.0,0.0,0.0,16.95,1.53,0.0
20160106:1809,0.0,0.0,0.0,15.43,1.97,0.0
20160106:1909,0.0,0.0,0.0,13.69,2.34,0.0
20160106:2009,0.0,0.0,0.0,11.95,2.7,0.0
20160106:2109,0.0,0.0,0.0,10.22,3.06,0.0
20160106:2209,0.0,0.0,0.0,10.11,3.06,0.0
20160106:2309,0.0,0.0,0.0,10.01,3.06,0.0
20160107:0009,0.0,0.0,0.0,9.91,3.06,0.0
20160107:0109,0.0,0.0,0.0,9.79,3.15,0.0
20160107:0209,0.0,0.0,0.0,9.67,3.24,0.0
20160107:0309,0.0,0.0,0.0,9.55,3.32,0.0
20160107:0409,0.0,0.0,0.0,10.67,3.69,0.0
20160107:0509,0.55,31.61,4.28,11.8,4.05,0.0
20160107:0609,11.87,324.67,14.82,12.92,4.41,0.0
20160107:0709,0.0,0.0,0.0,15.52,4.4,0.0
20160107:0809,1.52,54.78,30.96,18.12,4.4,0.0
20160107:0909,0.81,34.73,35.06,20.72,4.39,0.0
20160107:1009,0.0,0.0,0.0,21.2,4.32,0.0
20160107:1109,0.0,0.0,0.0,21.69,4.25,0.0
20160107:1209,0.0,0.0,0.0,22.17,4.18,0.0
20160107:1309,0.0,0.0,0.0,20.73,4.0,0.0
20160107:1409,0.0,0.0,0.0,19.29,3.82,0.0
20160107:1509,0.0,0.0,0.0,17.85,3.64,0.0
20160107:1609,0.0,0.0,0.0,17.76,4.86,0.0
20160107:1709,0.0,0.0,0.0,17.66,6.09,0.0
20160107:1809,0.0,0.0,0.0,17.57,7.31,0.0
20160107:1909,0.0,0.0,0.0,16.64,7.72,0.0
20160107:2009,0.0,0.0,0.0,15.7,8.13,0.0
20160107:2109,0.0,0.0,0.0,14.77,8.54,0.0
20160107:2209,0.0,0.0,0.0,14.6,8.14,0.0
20160107:2309,0.0,0.0,0.0,14.43,7.75,0.0
20160108:0009,0.0,0.0,0.0,14.27,7.35,0.0
20160108:0109,0.0,0.0,0.0,13.81,7.66,0.0
20160108:0209,0.0,0.0,0.0,13.35,7.97,0.0
20160108:0309,0.0,0.0,0.0,12.89,8.28,0.0
20160108:0409,0.0,0.0,0.0,13.34,8.3,0.0
20160108:0509,0.0,0.0,0.0,13.8,8.32,0.0
20160108:0609,0.38,21.6,14.84,14.26,8.34,0.0
20160108:0709,12.62,336.03,23.99,15.1,8.7,0.0
20160108:0809,22.0,577.43,31.04,15.93,9.05,0.0
20160108:0909,16.5,434.34,35.18,16.77,9.41,0.0
20160108:1009,1.93,65.49,35.71,16.61,9.35,0.0
20160108:1109,0.04,7.71,32.53,16.46,9.29,0.0
20160108:1209,0.0,0.0,0.0,16.3,9.23,0.0
20160108:1309,0.0,3.02,17.58,15.52,8.45,0.0
20160108:1409,6.73,193.81,7.36,14.74,7.67,0.0
20160108:1509,0.0,0.0,0.0,13.96,6.9,0.0
20160108:1609,0.0,0.0,0.0,13.8,6.41,0.0
20160108:1709,0.0,0.0,0.0,13.63,5.93,0.0
20160108:1809,0.0,0.0,0.0,13.47,5.45,0.0
20160108:1909,0.0,0.0,0.0,13.16,5.25,0.0
20160108:2009,0.0,0.0,0.0,12.85,5.05,0.0
20160108:2109,0.0,0.0,0.0,12.54,4.86,0.0
20160108:2209,0.0,0.0,0.0,13.03,4.94,0.0
20160108:2309,0.0,0.0,0.0,13.52,5.03,0.0
20160109:0009,0.0,0.0,0.0,14.01,5.12,0.0
20160109:0109,0.0,0.0,0.0,13.96,5.14,0.0
20160109:0209,0.0,0.0,0.0,13.91,5.15,0.0
20160109:0309,0.0,0.0,0.0,13.87,5.17,0.0
20160109:0409,0.0,0.0,0.0,14.21,4.78,0.0
20160109:0509,0.73,37.3,4.29,14.56,4.39,0.0
20160109:0609,11.7,324.38,14.87,14.9,4.0,0.0
20160109:0709,20.64,550.39,24.04,15.61,4.44,0.0
20160109:0809,27.54,737.66,31.13,16.33,4.87,0.0
20160109:0909,31.54,851.84,35.29,17.04,5.31,0.0
20160109:1009,30.15,813.26,35.85,16.99,5.23,0.0
20160109:1109,28.49,767.7,32.7,16.95,5.14,0.0
20160109:1209,22.65,604.94,26.38,16.9,5.06,0.0
20160109:1309,12.75,345.09,17.74,16.04,4.42,0.0
20160109:1409,3.85,118.96,7.52,15.19,3.77,0.0
20160109:1509,0.0,0.0,0.0,14.33,3.13,0.0
20160109:1609,0.0,0.0,0.0,13.7,2.79,0.0
20160109:1709,0.0,0.0,0.0,13.06,2.44,0.0
20160109:1809,0.0,0.0,0.0,12.43,2.1,0.0
20160109:1909,0.0,0.0,0.0,12.79,1.43,0.0
20160109:2009,0.0,0.0,0.0,13.14,0.75,0.0
20160109:2109,0.0,0.0,0.0,13.5,0.08,0.0
20160109:2209,0.0,0.0,0.0,13.36,0.53,0.0
20160109:2309,0.0,0.0,0.0,13.23,0.98,0.0
20160110:0009,0.0,0.0,0.0,13.1,1.43,0.0
20160110:0109,0.0,0.0,0.0,11.86,1.63,0.0
20160110:0209,0.0,0.0,0.0,10.62,1.83,0.0
20160110:0309,0.0,0.0,0.0,9.38,2.03,0.0
20160110:0409,0.0,0.0,0.0,10.12,2.03,0.0
20160110:0509,1.19,52.13,4.3,10.86,2.04,0.0
20160110:0609,10.93,301.37,14.9,11.6,2.04,0.0
20160110:0709,16.69,446.99,24.1,12.94,1.96,0.0
20160110:0809,26.51,721.85,31.22,14.29,1.88,0.0
20160110:0909,29.81,828.05,35.42,15.63,1.79,0.0
20160110:1009,31.03,868.6,36.01,15.93,1.6,0.0
20160110:1109,30.47,855.44,32.87,16.22,1.4,0.0
20160110:1209,22.54,620.47,26.55,16.52,1.2,0.0
20160110:1309,18.53,502.89,17.91,15.44,1.56,0.0
20160110:1409,5.95,174.17,7.68,14.35,1.92,0.0
20160110:1509,0.0,0.0,0.0,13.27,2.28,0.0
20160110:1609,0.0,0.0,0.0,12.37,2.47,0.0
20160110:1709,0.0,0.0,0.0,11.48,2.66,0.0
20160110:1809,0.0,0.0,0.0,10.58,2.86,0.0
20160110:1909,0.0,0.0,0.0,10.55,2.59,0.0
20160110:2009,0.0,0.0,0.0,10.52,2.33,0.0
20160110:2109,0.0,0.0,0.0,10.5,2.07,0.0
20160110:2209,0.0,0.0,0.0,11.22,1.82,0.0
20160110:2309,0.0,0.0,0.0,11.95,1.57,0.0
20160111:0009,0.0,0.0,0.0,12.68,1.32,0.0
20160111:0109,0.0,0.0,0.0,12.23,1.21,0.0
20160111:0209,0.0,0.0,0.0,11.78,1.1,0.0
20160111:0309,0.0,0.0,0.0,11.33,0.99,0.0
20160111:0409,0.0,0.0,0.0,11.61,0.89,0.0
20160111:0509,0.0,2.86,4.32,11.9,0.79,0.0
20160111:0609,0.9,37.18,14.94,12.18,0.69,0.0
20160111:0709,4.13,124.54,24.17,13.64,0.91,0.0
20160111:0809,19.74,537.03,31.32,15.11,1.14,0.0
20160111:0909,9.73,268.53,35.56,16.57,1.37,0.0
20160111:1009,2.08,71.5,36.17,16.8,1.96,0.0
20160111:1109,28.68,792.44,33.04,17.02,2.55,0.0
20160111:1209,23.48,637.45,26.73,17.25,3.14,0.0
20160111:1309,19.77,532.01,18.08,16.15,3.21,0.0
20160111:1409,6.99,202.22,7.84,15.05,3.28,0.0
20160111:1509,0.0,0.0,0.0,13.95,3.35,0.0
20160111:1609,0.0,0.0,0.0,13.26,3.4,0.0
20160111:1709,0.0,0.0,0.0,12.58,3.44,0.0
20160111:1809,0.0,0.0,0.0,11.89,3.49,0.0
20160111:1909,0.0,0.0,0.0,11.31,3.14,0.0
20160111:2009,0.0,0.0,0.0,10.72,2.8,0.0
20160111:2109,0.0,0.0,0.0,10.14,2.46,0.0
20160111:2209,0.0,0.0,0.0,11.41,1.89,0.0
20160111:2309,0.0,0.0,0.0,12.68,1.31,0.0
20160112:0009,0.0,0.0,0.0,13.96,0.74,0.0
20160112:0109,0.0,0.0,0.0,13.48,0.97,0.0
20160112:0209,0.0,0.0,0.0,13.0,1.2,0.0
20160112:0309,0.0,0.0,0.0,12.53,1.43,0.0
20160112:0409,0.0,0.0,0.0,12.17,1.14,0.0
20160112:0509,0.56,29.85,4.34,11.82,0.84,0.0
20160112:0609,3.9,118.61,14.99,11.47,0.54,0.0
20160112:0709,13.02,352.7,24.25,12.81,0.57,0.0
20160112:0809,26.65,740.12,31.43,14.15,0.61,0.0
20160112:0909,29.22,827.41,35.7,15.49,0.65,0.0
20160112:1009,29.69,832.45,36.33,16.06,1.26,0.0
20160112:1109,29.68,826.13,33.22,16.64,1.86,0.0
20160112:1209,26.52,727.01,26.91,17.21,2.47,0.0
20160112:1309,19.43,525.43,18.26,16.35,2.68,0.0
20160112:1409,9.03,255.63,8.01,15.48,2.89,0.0
20160112:1509,0.0,0.0,0.0,14.62,3.1,0.0
20160112:1609,0.0,0.0,0.0,13.78,3.13,0.0
20160112:1709,0.0,0.0,0.0,12.93,3.15,0.0
20160112:1809,0.0,0.0,0.0,12.09,3.17,0.0
20160112:1909,0.0,0.0,0.0,11.5,2.97,0.0
20160112:2009,0.0,0.0,0.0,10.91,2.76,0.0
20160112:2109,0.0,0.0,0.0,10.33,2.55,0.0
20160112:2209,0.0,0.0,0.0,11.2,2.27,0.0
20160112:2309,0.0,0.0,0.0,12.07,1.98,0.0
20160113:0009,0.0,0.0,0.0,12.95,1.7,0.0
20160113:0109,0.0,0.0,0.0,12.19,1.7,0.0
20160113:0209,0.0,0.0,0.0,11.44,1.7,0.0
20160113:0309,0.0,0.0,0.0,10.69,1.7,0.0
20160113:0409,0.0,0.0,0.0,10.64,1.71,0.0
20160113:0509,0.14,13.3,4.37,10.6,1.72,0.0
20160113:0609,9.71,267.95,15.04,10.56,1.74,0.0
20160113:0709,20.29,546.75,24.33,12.85,1.26,0.0
20160113:0809,26.35,732.87,31.55,15.13,0.78,0.0
20160113:0909,29.84,862.64,35.84,17.42,0.3,0.0
20160113:1009,31.5,903.41,36.51,17.8,1.05,0.0
20160113:1109,30.5,859.89,33.41,18.19,1.79,0.0
20160113:1209,26.55,732.24,27.1,18.57,2.54,0.0
20160113:1309,17.84,484.35,18.44,17.37,2.71,0.0
20160113:1409,3.22,102.56,8.19,16.16,2.88,0.0
20160113:1509,0.0,0.0,0.0,14.96,3.05,0.0
20160113:1609,0.0,0.0,0.0,14.51,2.57,0.0
20160113:1709,0.0,0.0,0.0,14.06,2.1,0.0
20160113:1809,0.0,0.0,0.0,13.61,1.63,0.0
20160113:1909,0.0,0.0,0.0,12.83,1.77,0.0
20160113:2009,0.0,0.0,0.0,12.04,1.91,0.0
20160113:2109,0.0,0.0,0.0,11.26,2.06,0.0
20160113:2209,0.0,0.0,0.0,10.68,2.46,0.0
20160113:2309,0.0,0.0,0.0,10.1,2.87,0.0
20160114:0009,0.0,0.0,0.0,9.52,3.28,0.0
20160114:0109,0.0,0.0,0.0,9.43,3.06,0.0
20160114:0209,0.0,0.0,0.0,9.34,2.83,0.0
20160114:0309,0.0,0.0,0.0,9.25,2.61,0.0
20160114:0409,0.0,0.0,0.0,10.31,2.59,0.0
20160114:0509,0.24,16.21,4.41,11.38,2.58,0.0
20160114:0609,3.16,99.15,15.1,12.45,2.57,0.0
20160114:0709,1.9,65.78,24.42,14.23,2.93,0.0
20160114:0809,13.05,353.1,31.67,16.02,3.29,0.0
20160114:0909,26.05,709.48,36.0,17.8,3.66,0.0
20160114:1009,29.7,815.41,36.69,17.92,4.03,0.0
20160114:1109,29.36,801.05,33.6,18.04,4.41,0.0
20160114:1209,15.76,423.87,27.29,18.16,4.79,0.0
20160114:1309,7.0,197.24,18.63,17.16,4.51,0.0
20160114:1409,1.16,45.44,8.36,16.15,4.23,0.0
20160114:1509,0.0,0.0,0.0,15.15,3.94,0.0
20160114:1609,0.0,0.0,0.0,14.63,3.81,0.0
20160114:1709,0.0,0.0,0.0,14.1,3.68,0.0
20160114:1809,0.0,0.0,0.0,13.58,3.54,0.0
20160114:1909,0.0,0.0,0.0,12.8,3.33,0.0
20160114:2009,0.0,0.0,0.0,12.02,3.12,0.0
20160114:2109,0.0,0.0,0.0,11.25,2.91,0.0
20160114:2209,0.0,0.0,0.0,11.7,2.89,0.0
20160114:2309,0.0,0.0,0.0,12.15,2.86,0.0
20160115:0009,0.0,0.0,0.0,12.61,2.84,0.0
20160115:0109,0.0,0.0,0.0,12.58,2.76,0.0
20160115:0209,0.0,0.0,0.0,12.56,2.68,0.0
20160115:0309,0.0,0.0,0.0,12.54,2.59,0.0
20160115:0409,0.0,0.0,0.0,13.09,2.37,0.0
20160115:0509,0.76,36.15,4.45,13.65,2.15,0.0
20160115:0609,11.64,324.9,15.17,14.21,1.93,0.0
20160115:0709,20.1,545.45,24.51,15.01,1.73,0.0
20160115:0809,27.09,747.87,31.79,15.82,1.54,0.0
20160115:0909,30.97,874.08,36.16,16.62,1.34,0.0
20160115:1009,32.52,916.72,36.87,16.76,1.79,0.0
20160115:1109,31.3,872.4,33.8,16.89,2.25,0.0
20160115:1209,26.9,735.99,27.49,17.03,2.7,0.0
20160115:1309,20.0,539.42,18.81,16.17,2.91,0.0
20160115:1409,9.96,279.28,8.54,15.31,3.11,0.0
20160115:1509,0.0,0.0,0.0,14.45,3.31,0.0
20160115:1609,0.0,0.0,0.0,13.61,3.23,0.0
20160115:1709,0.0,0.0,0.0,12.78,3.15,0.0
20160115:1809,0.0,0.0,0.0,11.94,3.08,0.0
20160115:1909,0.0,0.0,0.0,11.17,2.93,0.0
20160115:2009,0.0,0.0,0.0,10.39,2.78,0.0
20160115:2109,0.0,0.0,0.0,9.62,2.63,0.0
20160115:2209,0.0,0.0,0.0,10.1,2.48,0.0
20160115:2309,0.0,0.0,0.0,10.58,2.32,0.0
20160116:0009,0.0,0.0,0.0,11.07,2.17,0.0
20160116:0109,0.0,0.0,0.0,10.51,2.34,0.0
20160116:0209,0.0,0.0,0.0,9.95,2.52,0.0
20160116:0309,0.0,0.0,0.0,9.39,2.7,0.0
20160116:0409,0.0,0.0,0.0,10.05,2.59,0.0
20160116:0509,0.48,27.91,4.5,10.72,2.47,0.0
20160116:0609,11.58,318.17,15.24,11.38,2.36,0.0
20160116:0709,20.87,558.58,24.61,13.46,2.38,0.0
20160116:0809,26.7,727.19,31.93,15.54,2.4,0.0
20160116:0909,30.07,834.38,36.33,17.62,2.43,0.0
20160116:1009,31.35,874.45,37.07,18.02,2.55,0.0
20160116:1109,31.01,865.19,34.0,18.41,2.67,0.0
20160116:1209,26.82,739.58,27.69,18.81,2.79,0.0
20160116:1309,19.44,528.4,19.01,17.71,2.82,0.0
20160116:1409,9.7,274.15,8.72,16.62,2.86,0.0
20160116:1509,0.0,0.0,0.0,15.52,2.9,0.0
20160116:1609,0.0,0.0,0.0,14.48,2.86,0.0
20160116:1709,0.0,0.0,0.0,13.43,2.83,0.0
20160116:1809,0.0,0.0,0.0,12.39,2.8,0.0
20160116:1909,0.0,0.0,0.0,12.58,2.47,0.0
20160116:2009,0.0,0.0,0.0,12.77,2.14,0.0
20160116:2109,0.0,0.0,0.0,12.96,1.81,0.0
20160116:2209,0.0,0.0,0.0,12.51,1.81,0.0
20160116:2309,0.0,0.0,0.0,12.07,1.81,0.0
20160117:0009,0.0,0.0,0.0,11.63,1.81,0.0
20160117:0109,0.0,0.0,0.0,10.42,2.14,0.0
20160117:0209,0.0,0.0,0.0,9.21,2.48,0.0
20160117:0309,0.0,0.0,0.0,8.01,2.81,0.0
20160117:0409,0.0,0.0,0.0,8.94,2.84,0.0
20160117:0509,1.41,60.87,4.55,9.88,2.86,0.0
20160117:0609,11.68,319.52,15.31,10.82,2.88,0.0
20160117:0709,20.79,555.14,24.72,13.43,2.65,0.0
20160117:0809,27.25,744.74,32.07,16.03,2.41,0.0
20160117:0909,30.91,869.63,36.5,18.64,2.18,0.0
20160117:1009,32.07,911.79,37.27,19.51,2.11,0.0
20160117:1109,30.74,874.09,34.21,20.37,2.03,0.0
20160117:1209,26.76,754.51,27.89,21.24,1.96,0.0
20160117:1309,19.87,553.67,19.2,20.87,1.77,0.0
20160117:1409,10.49,302.13,8.9,20.5,1.57,0.0
20160117:1509,0.0,0.0,0.0,20.13,1.38,0.0
20160117:1609,0.0,0.0,0.0,18.04,1.95,0.0
20160117:1709,0.0,0.0,0.0,15.94,2.53,0.0
20160117:1809,0.0,0.0,0.0,13.85,3.1,0.0
20160117:1909,0.0,0.0,0.0,13.55,3.98,0.0
20160117:2009,0.0,0.0,0.0,13.25,4.85,0.0
20160117:2109,0.0,0.0,0.0,12.96,5.72,0.0
20160117:2209,0.0,0.0,0.0,13.48,6.08,0.0
20160117:2309,0.0,0.0,0.0,14.0,6.44,0.0
20160118:0009,0.0,0.0,0.0,14.53,6.8,0.0
20160118:0109,0.0,0.0,0.0,14.24,6.95,0.0
20160118:0209,0.0,0.0,0.0,13.95,7.1,0.0
20160118:0309,0.0,0.0,0.0,13.67,7.26,0.0
20160118:0409,0.0,0.0,0.0,13.57,7.25,0.0
20160118:0509,0.68,34.26,4.61,13.47,7.24,0.0
20160118:0609,4.75,140.33,15.39,13.37,7.23,0.0
20160118:0709,8.44,232.43,24.83,14.04,7.83,0.0
20160118:0809,13.54,360.06,32.22,14.72,8.43,0.0
20160118:0909,17.21,454.0,36.69,15.39,9.03,0.0
20160118:1009,20.59,540.92,37.47,15.45,9.14,0.0
20160118:1109,22.39,586.03,34.42,15.5,9.24,0.0
20160118:1209,10.91,293.9,28.1,15.56,9.34,0.0
20160118:1309,5.04,147.76,19.4,14.71,8.86,0.0
20160118:1409,1.07,42.29,9.09,13.85,8.39,0.0
20160118:1509,0.0,0.0,0.0,13.0,7.92,0.0
20160118:1609,0.0,0.0,0.0,12.72,7.92,0.0
20160118:1709,0.0,0.0,0.0,12.44,7.92,0.0
20160118:1809,0.0,0.0,0.0,12.16,7.92,0.0
20160118:1909,0.0,0.0,0.0,11.78,7.97,0.0
20160118:2009,0.0,0.0,0.0,11.39,8.03,0.0
20160118:2109,0.0,0.0,0.0,11.01,8.08,0.0
20160118:2209,0.0,0.0,0.0,11.31,8.11,0.0
20160118:2309,0.0,0.0,0.0,11.61,8.14,0.0
20160119:0009,0.0,0.0,0.0,11.92,8.17,0.0
20160119:0109,0.0,0.0,0.0,11.73,8.4,0.0
20160119:0209,0.0,0.0,0.0,11.54,8.64,0.0
20160119:0309,0.0,0.0,0.0,11.36,8.88,0.0
20160119:0409,0.0,0.0,0.0,11.68,8.59,0.0
20160119:0509,0.22,15.25,4.67,12.0,8.3,0.0
20160119:0609,4.88,143.12,15.48,12.32,8.01,0.0
20160119:0709,1.88,64.82,24.95,13.16,8.17,0.0
20160119:0809,11.44,306.9,32.37,14.01,8.33,0.0
20160119:0909,22.48,585.04,36.87,14.85,8.48,0.0
20160119:1009,2.18,73.4,37.69,14.91,8.13,0.0
20160119:1109,3.08,97.24,34.64,14.98,7.77,0.0
20160119:1209,13.37,355.31,28.32,15.04,7.42,0.0
20160119:1309,1.28,48.62,19.6,14.32,6.6,0.0
20160119:1409,0.21,15.25,9.28,13.59,5.77,0.0
20160119:1509,0.0,0.0,0.0,12.87,4.95,0.0
20160119:1609,0.0,0.0,0.0,12.24,4.66,0.0
