time,P,G(i),H_sun,T2m,WS10m,Int
20160101:0009,0.0,0.0,0.0,13.07,5.54,0.0
20160101:0109,0.0,0.0,0.0,12.82,5.97,0.0
20160101:0209,0.0,0.0,0.0,12.57,6.4,0.0
20160101:0309,0.0,0.0,0.0,12.33,6.83,0.0
20160101:0409,0.0,0.0,0.0,12.27,7.14,0.0
20160101:0509,0.0,0.0,0.0,12.22,7.44,0.0
20160101:0609,6.47,183.76,14.8,12.17,7.75,0.0
20160101:0709,0.0,0.0,0.0,12.35,8.23,0.0
20160101:0809,9.17,244.66,30.63,12.52,8.72,0.0
20160101:0909,1.96,65.18,34.54,12.7,9.2,0.0
20160101:1009,0.0,5.04,34.88,12.35,9.37,0.0
20160101:1109,0.17,12.98,31.58,11.99,9.54,0.0
20160101:1209,8.22,220.12,25.2,11.64,9.71,0.0
20160101:1309,1.05,40.73,16.55,11.03,9.34,0.0
20160101:1409,3.65,112.4,6.34,10.43,8.97,0.0
20160101:1509,0.0,0.0,0.0,9.82,8.59,0.0
20160101:1609,0.0,0.0,0.0,9.71,7.97,0.0
20160101:1709,0.0,0.0,0.0,9.59,7.34,0.0
20160101:1809,0.0,0.0,0.0,9.48,6.72,0.0
20160101:1909,0.0,0.0,0.0,9.15,6.29,0.0
20160101:2009,0.0,0.0,0.0,8.82,5.86,0.0
20160101:2109,0.0,0.0,0.0,8.5,5.43,0.0
20160101:2209,0.0,0.0,0.0,8.96,5.09,0.0
20160101:2309,0.0,0.0,0.0,9.43,4.74,0.0
20160102:0009,0.0,0.0,0.0,9.9,4.4,0.0
20160102:0109,0.0,0.0,0.0,9.72,4.02,0.0
20160102:0209,0.0,0.0,0.0,9.55,3.64,0.0
20160102:0309,0.0,0.0,0.0,9.38,3.26,0.0
20160102:0409,0.0,0.0,0.0,9.74,3.1,0.0
20160102:0509,0.0,3.95,4.34,10.11,2.94,0.0
20160102:0609,1.73,60.79,14.79,10.47,2.79,0.0
20160102:0709,14.5,381.25,23.79,10.89,3.38,0.0
20160102:0809,0.44,22.43,30.67,11.32,3.97,0.0
20160102:0909,23.75,619.34,34.61,11.74,4.57,0.0
20160102:1009,2.19,71.12,34.98,11.38,4.59,0.0
20160102:1109,34.36,920.83,31.69,11.03,4.61,0.0
20160102:1209,26.27,688.52,25.33,10.67,4.63,0.0
20160102:1309,8.0,217.03,16.68,10.5,3.94,0.0
20160102:1409,4.21,127.15,6.47,10.34,3.25,0.0
20160102:1509,0.0,0.0,0.0,10.17,2.55,0.0
20160102:1609,0.0,0.0,0.0,10.14,2.27,0.0
20160102:1709,0.0,0.0,0.0,10.1,1.98,0.0
20160102:1809,0.0,0.0,0.0,10.07,1.7,0.0
20160102:1909,0.0,0.0,0.0,9.22,2.17,0.0
20160102:2009,0.0,0.0,0.0,8.37,2.65,0.0
20160102:2109,0.0,0.0,0.0,7.52,3.13,0.0
20160102:2209,0.0,0.0,0.0,8.21,3.55,0.0
20160102:2309,0.0,0.0,0.0,8.9,3.97,0.0
20160103:0009,0.0,0.0,0.0,9.59,4.39,0.0
20160103:0109,0.0,0.0,0.0,9.65,4.79,0.0
20160103:0209,0.0,0.0,0.0,9.71,5.19,0.0
20160103:0309,0.0,0.0,0.0,9.77,5.59,0.0
20160103:0409,0.0,0.0,0.0,10.33,5.87,0.0
20160103:0509,0.0,0.0,0.0,10.89,6.15,0.0
20160103:0609,0.0,0.0,0.0,11.45,6.43,0.0
20160103:0709,0.04,7.6,23.81,12.56,6.71,0.0
20160103:0809,0.0,0.0,0.0,13.67,7.0,0.0
20160103:0909,0.0,0.0,0.0,14.78,7.28,0.0
20160103:1009,3.55,107.07,35.08,14.92,7.29,0.0
20160103:1109,38.53,1045.74,31.82,15.05,7.29,0.0
20160103:1209,34.95,941.34,25.46,15.19,7.3,0.0
20160103:1309,23.92,634.88,16.82,14.53,6.33,0.0
20160103:1409,7.83,222.49,6.61,13.86,5.37,0.0
20160103:1509,0.0,0.0,0.0,13.2,4.4,0.0
20160103:1609,0.0,0.0,0.0,12.62,3.87,0.0
20160103:1709,0.0,0.0,0.0,12.03,3.34,0.0
20160103:1809,0.0,0.0,0.0,11.45,2.81,0.0
20160103:1909,0.0,0.0,0.0,10.96,2.96,0.0
20160103:2009,0.0,0.0,0.0,10.47,3.1,0.0
20160103:2109,0.0,0.0,0.0,9.99,3.24,0.0
20160103:2209,0.0,0.0,0.0,10.17,3.23,0.0
20160103:2309,0.0,0.0,0.0,10.35,3.22,0.0
20160104:0009,0.0,0.0,0.0,10.53,3.21,0.0
20160104:0109,0.0,0.0,0.0,9.95,2.99,0.0
20160104:0209,0.0,0.0,0.0,9.37,2.76,0.0
20160104:0309,0.0,0.0,0.0,8.8,2.54,0.0
20160104:0409,0.0,0.0,0.0,9.62,2.53,0.0
20160104:0509,0.26,19.83,4.3,10.45,2.53,0.0
20160104:0609,2.88,91.83,14.78,11.28,2.52,0.0
20160104:0709,13.9,369.74,23.83,12.84,3.37,0.0
20160104:0809,0.28,17.4,30.77,14.39,4.21,0.0
20160104:0909,37.04,1024.4,34.77,15.95,5.05,0.0
20160104:1009,35.48,975.59,35.19,16.17,5.18,0.0
20160104:1109,41.59,1169.12,31.95,16.39,5.31,0.0
20160104:1209,6.41,180.5,25.6,16.61,5.45,0.0
20160104:1309,18.97,507.02,16.96,15.61,4.8,0.0
20160104:1409,7.64,218.78,6.75,14.61,4.15,0.0
20160104:1509,0.0,0.0,0.0,13.61,3.5,0.0
20160104:1609,0.0,0.0,0.0,13.06,3.67,0.0
20160104:1709,0.0,0.0,0.0,12.52,3.84,0.0
20160104:1809,0.0,0.0,0.0,11.97,4.01,0.0
20160104:1909,0.0,0.0,0.0,11.65,4.22,0.0
20160104:2009,0.0,0.0,0.0,11.32,4.42,0.0
20160104:2109,0.0,0.0,0.0,11.0,4.62,0.0
20160104:2209,0.0,0.0,0.0,11.33,4.74,0.0
20160104:2309,0.0,0.0,0.0,11.66,4.86,0.0
20160105:0009,0.0,0.0,0.0,12.0,4.98,0.0
20160105:0109,0.0,0.0,0.0,11.86,5.02,0.0
20160105:0209,0.0,0.0,0.0,11.73,5.06,0.0
20160105:0309,0.0,0.0,0.0,11.6,5.1,0.0
20160105:0409,0.0,0.0,0.0,12.16,5.13,0.0
20160105:0509,0.25,19.79,4.29,12.73,5.15,0.0
20160105:0609,6.83,194.74,14.79,13.3,5.17,0.0
20160105:0709,22.28,593.5,23.86,14.85,5.26,0.0
20160105:0809,29.46,797.05,30.82,16.39,5.35,0.0
20160105:0909,12.67,341.12,34.86,17.94,5.43,0.0
20160105:1009,31.81,873.2,35.31,18.21,5.26,0.0
20160105:1109,42.0,1199.72,32.09,18.47,5.09,0.0
20160105:1209,13.43,362.99,25.75,18.74,4.91,0.0
20160105:1309,21.38,579.43,17.11,17.45,4.3,0.0
20160105:1409,8.34,238.49,6.9,16.16,3.7,0.0
20160105:1509,0.0,0.0,0.0,14.87,3.09,0.0
20160105:1609,0.0,0.0,0.0,14.08,3.14,0.0
20160105:1709,0.0,0.0,0.0,13.28,3.19,0.0
20160105:1809,0.0,0.0,0.0,12.49,3.24,0.0
20160105:1909,0.0,0.0,0.0,11.91,3.44,0.0
20160105:2009,0.0,0.0,0.0,11.33,3.65,0.0
20160105:2109,0.0,0.0,0.0,10.76,3.85,0.0
20160105:2209,0.0,0.0,0.0,11.12,3.97,0.0
20160105:2309,0.0,0.0,0.0,11.49,4.1,0.0
20160106:0009,0.0,0.0,0.0,11.86,4.22,0.0
20160106:0109,0.0,0.0,0.0,11.69,4.15,0.0
20160106:0209,0.0,0.0,0.0,11.53,4.08,0.0
20160106:0309,0.0,0.0,0.0,11.37,4.01,0.0
20160106:0409,0.0,0.0,0.0,12.03,3.91,0.0
20160106:0509,0.56,31.73,4.28,12.7,3.8,0.0
20160106:0609,13.09,357.9,14.8,13.37,3.7,0.0
20160106:0709,26.79,731.03,23.9,15.44,3.53,0.0
20160106:0809,37.54,1073.37,30.89,17.52,3.37,0.0
