time,P,G(i),H_sun,T2m,WS10m,Int
20160105:1209,37.15,1016.83,25.45,17.69,7.79,0.0
20160105:1309,22.71,606.61,16.83,17.06,7.24,0.0
20160105:1409,8.29,236.26,6.65,16.43,6.69,0.0
20160105:1509,0.0,0.0,0.0,15.79,6.14,0.0
20160105:1609,0.0,0.0,0.0,15.24,5.76,0.0
20160105:1709,0.0,0.0,0.0,14.69,5.37,0.0
20160105:1809,0.0,0.0,0.0,14.13,4.99,0.0
20160105:1909,0.0,0.0,0.0,13.72,5.16,0.0
20160105:2009,0.0,0.0,0.0,13.31,5.32,0.0
20160105:2109,0.0,0.0,0.0,12.89,5.49,0.0
20160105:2209,0.0,0.0,0.0,13.13,5.66,0.0
20160105:2309,0.0,0.0,0.0,13.38,5.84,0.0
20160106:0009,0.0,0.0,0.0,13.62,6.01,0.0
20160106:0109,0.0,0.0,0.0,13.6,5.94,0.0
20160106:0209,0.0,0.0,0.0,13.58,5.88,0.0
20160106:0309,0.0,0.0,0.0,13.56,5.81,0.0
20160106:0409,0.0,0.0,0.0,13.87,5.67,0.0
20160106:0509,0.46,28.04,4.24,14.18,5.54,0.0
20160106:0609,13.45,367.25,14.71,14.5,5.41,0.0
20160106:0709,27.06,730.12,23.75,15.88,5.41,0.0
20160106:0809,37.68,1050.27,30.69,17.27,5.41,0.0
20160106:0909,44.17,1269.44,34.7,18.65,5.41,0.0
20160106:1009,45.68,1326.58,35.14,18.87,5.17,0.0
20160106:1109,42.0,1206.15,31.92,19.08,4.93,0.0
20160106:1209,36.84,1042.49,25.6,19.3,4.69,0.0
20160106:1309,24.26,669.19,16.99,19.84,4.19,0.0
20160106:1409,7.94,232.04,6.8,20.38,3.7,0.0
20160106:1509,0.0,0.0,0.0,20.92,3.2,0.0
20160106:1609,0.0,0.0,0.0,19.64,3.13,0.0
20160106:1709,0.0,0.0,0.0,18.36,3.05,0.0
20160106:1809,0.0,0.0,0.0,17.07,2.98,0.0
20160106:1909,0.0,0.0,0.0,15.5,3.25,0.0
20160106:2009,0.0,0.0,0.0,13.93,3.52,0.0
20160106:2109,0.0,0.0,0.0,12.35,3.79,0.0
20160106:2209,0.0,0.0,0.0,12.12,3.96,0.0
20160106:2309,0.0,0.0,0.0,11.9,4.13,0.0
20160107:0009,0.0,0.0,0.0,11.67,4.3,0.0
20160107:0109,0.0,0.0,0.0,11.69,4.42,0.0
20160107:0209,0.0,0.0,0.0,11.72,4.53,0.0
20160107:0309,0.0,0.0,0.0,11.74,4.65,0.0
20160107:0409,0.0,0.0,0.0,12.51,5.08,0.0
20160107:0509,0.02,7.91,4.24,13.28,5.5,0.0
20160107:0609,8.39,235.09,14.73,14.05,5.93,0.0
20160107:0709,0.0,0.0,0.0,15.96,5.87,0.0
20160107:0809,0.14,12.43,30.76,17.87,5.8,0.0
20160107:0909,0.82,34.89,34.81,19.78,5.74,0.0
20160107:1009,0.0,0.0,0.0,20.23,5.57,0.0
20160107:1109,0.0,0.0,0.0,20.67,5.4,0.0
20160107:1209,0.0,0.0,0.0,21.12,5.23,0.0
20160107:1309,0.0,0.0,0.0,20.34,5.27,0.0
20160107:1409,0.0,4.5,6.95,19.56,5.31,0.0
20160107:1509,0.0,0.0,0.0,18.77,5.35,0.0
20160107:1609,0.0,0.0,0.0,18.92,6.69,0.0
20160107:1709,0.0,0.0,0.0,19.07,8.02,0.0
20160107:1809,0.0,0.0,0.0,19.21,9.35,0.0
20160107:1909,0.0,0.0,0.0,18.44,10.34,0.0
20160107:2009,0.0,0.0,0.0,17.67,11.34,0.0
20160107:2109,0.0,0.0,0.0,16.9,12.33,0.0
20160107:2209,0.0,0.0,0.0,16.61,12.38,0.0
20160107:2309,0.0,0.0,0.0,16.32,12.42,0.0
20160108:0009,0.0,0.0,0.0,16.03,12.47,0.0
20160108:0109,0.0,0.0,0.0,15.71,12.51,0.0
20160108:0209,0.0,0.0,0.0,15.4,12.55,0.0
20160108:0309,0.0,0.0,0.0,15.08,12.59,0.0
20160108:0409,0.0,0.0,0.0,15.18,12.07,0.0
20160108:0509,0.0,0.0,0.0,15.28,11.55,0.0
20160108:0609,1.88,66.09,14.75,15.39,11.03,0.0
20160108:0709,10.26,276.15,23.85,15.53,11.16,0.0
20160108:0809,10.84,289.18,30.84,15.68,11.28,0.0
20160108:0909,2.11,70.03,34.92,15.83,11.41,0.0
20160108:1009,29.94,784.87,35.41,15.64,11.27,0.0
20160108:1109,12.2,321.93,32.23,15.44,11.13,0.0
20160108:1209,0.0,0.0,0.0,15.25,10.99,0.0
20160108:1309,0.14,12.25,17.3,15.13,10.57,0.0
20160108:1409,1.0,41.07,7.11,15.01,10.14,0.0
20160108:1509,0.0,0.0,0.0,14.88,9.71,0.0
20160108:1609,0.0,0.0,0.0,14.96,9.17,0.0
20160108:1709,0.0,0.0,0.0,15.04,8.63,0.0
20160108:1809,0.0,0.0,0.0,15.11,8.08,0.0
20160108:1909,0.0,0.0,0.0,14.97,8.01,0.0
20160108:2009,0.0,0.0,0.0,14.82,7.94,0.0
20160108:2109,0.0,0.0,0.0,14.67,7.86,0.0
20160108:2209,0.0,0.0,0.0,15.04,7.92,0.0
20160108:2309,0.0,0.0,0.0,15.4,7.97,0.0
20160109:0009,0.0,0.0,0.0,15.77,8.03,0.0
20160109:0109,0.0,0.0,0.0,15.87,7.85,0.0
20160109:0209,0.0,0.0,0.0,15.96,7.67,0.0
20160109:0309,0.0,0.0,0.0,16.06,7.49,0.0
20160109:0409,0.0,0.0,0.0,16.05,6.91,0.0
20160109:0509,0.67,34.55,4.25,16.04,6.32,0.0
20160109:0609,9.27,260.43,14.78,16.03,5.74,0.0
20160109:0709,19.78,526.53,23.9,16.05,5.66,0.0
20160109:0809,27.57,734.19,30.93,16.08,5.57,0.0
20160109:0909,32.04,860.86,35.04,16.1,5.49,0.0
20160109:1009,31.56,848.41,35.56,16.02,5.49,0.0
20160109:1109,31.63,848.38,32.39,15.93,5.5,0.0
20160109:1209,26.24,697.52,26.09,15.85,5.5,0.0
20160109:1309,16.74,445.34,17.47,15.65,5.0,0.0
20160109:1409,4.9,146.41,7.27,15.45,4.5,0.0
20160109:1509,0.0,0.0,0.0,15.25,4.0,0.0
20160109:1609,0.0,0.0,0.0,14.86,3.51,0.0
20160109:1709,0.0,0.0,0.0,14.47,3.02,0.0
20160109:1809,0.0,0.0,0.0,14.07,2.52,0.0
20160109:1909,0.0,0.0,0.0,14.59,2.02,0.0
20160109:2009,0.0,0.0,0.0,15.11,1.51,0.0
20160109:2109,0.0,0.0,0.0,15.63,1.01,0.0
20160109:2209,0.0,0.0,0.0,15.37,1.12,0.0
20160109:2309,0.0,0.0,0.0,15.12,1.23,0.0
20160110:0009,0.0,0.0,0.0,14.86,1.34,0.0
20160110:0109,0.0,0.0,0.0,13.76,1.47,0.0
20160110:0209,0.0,0.0,0.0,12.67,1.6,0.0
20160110:0309,0.0,0.0,0.0,11.57,1.74,0.0
20160110:0409,0.0,0.0,0.0,11.96,1.77,0.0
20160110:0509,1.17,52.59,4.26,12.34,1.8,0.0
20160110:0609,10.81,300.56,14.82,12.73,1.83,0.0
20160110:0709,15.53,416.93,23.96,13.38,2.14,0.0
20160110:0809,27.36,740.13,31.02,14.04,2.44,0.0
20160110:0909,31.2,854.0,35.17,14.69,2.74,0.0
20160110:1009,31.95,880.73,35.71,14.95,2.49,0.0
20160110:1109,31.04,856.76,32.56,15.21,2.23,0.0
20160110:1209,23.34,633.41,26.26,15.47,1.97,0.0
20160110:1309,18.6,504.06,17.64,15.04,1.49,0.0
20160110:1409,6.68,194.36,7.43,14.62,1.0,0.0
20160110:1509,0.0,0.0,0.0,14.19,0.51,0.0
20160110:1609,0.0,0.0,0.0,13.54,0.9,0.0
20160110:1709,0.0,0.0,0.0,12.88,1.28,0.0
20160110:1809,0.0,0.0,0.0,12.22,1.67,0.0
20160110:1909,0.0,0.0,0.0,12.36,1.66,0.0
20160110:2009,0.0,0.0,0.0,12.5,1.65,0.0
20160110:2109,0.0,0.0,0.0,12.63,1.64,0.0
20160110:2209,0.0,0.0,0.0,13.23,1.49,0.0
20160110:2309,0.0,0.0,0.0,13.84,1.33,0.0
20160111:0009,0.0,0.0,0.0,14.44,1.17,0.0
20160111:0109,0.0,0.0,0.0,14.13,1.33,0.0
20160111:0209,0.0,0.0,0.0,13.83,1.49,0.0
20160111:0309,0.0,0.0,0.0,13.52,1.66,0.0
20160111:0409,0.0,0.0,0.0,13.45,1.53,0.0
20160111:0509,0.0,3.81,4.28,13.38,1.4,0.0
20160111:0609,7.17,205.74,14.86,13.31,1.27,0.0
20160111:0709,12.41,338.91,24.03,14.08,1.05,0.0
20160111:0809,12.97,354.79,31.13,14.86,0.83,0.0
20160111:0909,18.92,523.41,35.3,15.63,0.61,0.0
20160111:1009,6.77,195.04,35.87,15.82,1.31,0.0
20160111:1109,28.78,796.54,32.73,16.01,2.0,0.0
20160111:1209,26.0,707.22,26.44,16.2,2.7,0.0
20160111:1309,19.89,535.54,17.81,15.76,2.91,0.0
20160111:1409,4.75,142.52,7.6,15.32,3.13,0.0
20160111:1509,0.0,0.0,0.0,14.87,3.34,0.0
20160111:1609,0.0,0.0,0.0,14.43,3.63,0.0
20160111:1709,0.0,0.0,0.0,13.98,3.92,0.0
20160111:1809,0.0,0.0,0.0,13.53,4.21,0.0
20160111:1909,0.0,0.0,0.0,13.11,3.76,0.0
20160111:2009,0.0,0.0,0.0,12.69,3.31,0.0
20160111:2109,0.0,0.0,0.0,12.27,2.86,0.0
20160111:2209,0.0,0.0,0.0,13.42,2.42,0.0
20160111:2309,0.0,0.0,0.0,14.57,1.98,0.0
20160112:0009,0.0,0.0,0.0,15.72,1.54,0.0
20160112:0109,0.0,0.0,0.0,15.39,1.6,0.0
20160112:0209,0.0,0.0,0.0,15.05,1.66,0.0
20160112:0309,0.0,0.0,0.0,14.72,1.71,0.0
20160112:0409,0.0,0.0,0.0,14.01,1.58,0.0
20160112:0509,0.07,9.51,4.31,13.3,1.44,0.0
20160112:0609,3.52,109.11,14.91,12.6,1.31,0.0
20160112:0709,14.42,388.82,24.11,13.25,1.19,0.0
20160112:0809,26.98,742.7,31.23,13.9,1.07,0.0
20160112:0909,30.89,869.38,35.44,14.55,0.95,0.0
20160112:1009,28.34,786.52,36.04,15.09,1.23,0.0
20160112:1109,30.39,848.88,32.92,15.62,1.51,0.0
20160112:1209,26.66,733.7,26.62,16.16,1.79,0.0
20160112:1309,19.42,526.52,17.99,15.95,2.08,0.0
20160112:1409,9.07,257.18,7.77,15.75,2.37,0.0
20160112:1509,0.0,0.0,0.0,15.54,2.66,0.0
20160112:1609,0.0,0.0,0.0,14.94,2.78,0.0
20160112:1709,0.0,0.0,0.0,14.34,2.9,0.0
20160112:1809,0.0,0.0,0.0,13.73,3.02,0.0
20160112:1909,0.0,0.0,0.0,13.31,2.83,0.0
20160112:2009,0.0,0.0,0.0,12.89,2.63,0.0
20160112:2109,0.0,0.0,0.0,12.46,2.44,0.0
20160112:2209,0.0,0.0,0.0,13.21,2.24,0.0
20160112:2309,0.0,0.0,0.0,13.96,2.05,0.0
20160113:0009,0.0,0.0,0.0,14.71,1.85,0.0
20160113:0109,0.0,0.0,0.0,14.1,1.87,0.0
20160113:0209,0.0,0.0,0.0,13.49,1.89,0.0
20160113:0309,0.0,0.0,0.0,12.88,1.92,0.0
20160113:0409,0.0,0.0,0.0,12.48,1.78,0.0
20160113:0509,0.59,30.84,4.34,12.08,1.64,0.0
20160113:0609,11.26,311.33,14.96,11.69,1.5,0.0
20160113:0709,20.76,560.7,24.19,13.28,1.39,0.0
20160113:0809,26.67,735.28,31.35,14.88,1.27,0.0
20160113:0909,29.43,830.53,35.59,16.48,1.16,0.0
20160113:1009,31.99,902.85,36.22,16.83,1.64,0.0
20160113:1109,30.74,858.33,33.1,17.17,2.12,0.0
20160113:1209,26.96,740.5,26.8,17.52,2.61,0.0
20160113:1309,16.08,435.83,18.17,16.97,2.6,0.0
20160113:1409,5.53,163.97,7.94,16.43,2.59,0.0
20160113:1509,0.0,0.0,0.0,15.88,2.58,0.0
20160113:1609,0.0,0.0,0.0,15.67,2.08,0.0
20160113:1709,0.0,0.0,0.0,15.46,1.58,0.0
20160113:1809,0.0,0.0,0.0,15.25,1.08,0.0
20160113:1909,0.0,0.0,0.0,14.63,1.77,0.0
20160113:2009,0.0,0.0,0.0,14.01,2.47,0.0
20160113:2109,0.0,0.0,0.0,13.39,3.17,0.0
20160113:2209,0.0,0.0,0.0,12.69,3.66,0.0
20160113:2309,0.0,0.0,0.0,11.98,4.14,0.0
20160114:0009,0.0,0.0,0.0,11.28,4.62,0.0
20160114:0109,0.0,0.0,0.0,11.33,4.8,0.0
20160114:0209,0.0,0.0,0.0,11.39,4.97,0.0
20160114:0309,0.0,0.0,0.0,11.44,5.14,0.0
20160114:0409,0.0,0.0,0.0,12.15,5.19,0.0
20160114:0509,0.4,22.93,4.38,12.86,5.23,0.0
20160114:0609,0.27,17.13,15.02,13.58,5.27,0.0
20160114:0709,11.42,309.25,24.28,14.67,5.41,0.0
20160114:0809,13.37,361.27,31.47,15.77,5.55,0.0
20160114:0909,22.53,606.37,35.75,16.86,5.7,0.0
20160114:1009,29.97,805.29,36.4,16.94,5.89,0.0
20160114:1109,29.93,804.79,33.29,17.03,6.07,0.0
20160114:1209,17.16,454.38,27.0,17.11,6.26,0.0
20160114:1309,2.29,77.07,18.35,16.76,6.0,0.0
20160114:1409,0.75,33.3,8.12,16.42,5.74,0.0
20160114:1509,0.0,0.0,0.0,16.07,5.48,0.0
20160114:1609,0.0,0.0,0.0,15.79,5.39,0.0
20160114:1709,0.0,0.0,0.0,15.51,5.31,0.0
20160114:1809,0.0,0.0,0.0,15.22,5.23,0.0
20160114:1909,0.0,0.0,0.0,14.61,4.98,0.0
20160114:2009,0.0,0.0,0.0,14.0,4.73,0.0
20160114:2109,0.0,0.0,0.0,13.38,4.48,0.0
20160114:2209,0.0,0.0,0.0,13.71,4.29,0.0
20160114:2309,0.0,0.0,0.0,14.04,4.09,0.0
20160115:0009,0.0,0.0,0.0,14.37,3.89,0.0
20160115:0109,0.0,0.0,0.0,14.49,3.7,0.0
20160115:0209,0.0,0.0,0.0,14.61,3.5,0.0
20160115:0309,0.0,0.0,0.0,14.73,3.31,0.0
20160115:0409,0.0,0.0,0.0,14.93,2.71,0.0
20160115:0509,0.35,20.94,4.42,15.13,2.11,0.0
20160115:0609,11.69,328.49,15.09,15.34,1.52,0.0
20160115:0709,20.56,563.11,24.37,15.45,1.15,0.0
20160115:0809,26.81,747.85,31.6,15.57,0.79,0.0
20160115:0909,29.71,845.97,35.91,15.68,0.43,0.0
20160115:1009,31.37,888.55,36.58,15.78,1.03,0.0
20160115:1109,31.09,869.71,33.49,15.88,1.64,0.0
20160115:1209,27.57,755.3,27.19,15.98,2.25,0.0
20160115:1309,20.46,553.31,18.54,15.78,2.35,0.0
20160115:1409,10.08,283.18,8.29,15.58,2.46,0.0
20160115:1509,0.0,0.0,0.0,15.37,2.57,0.0
20160115:1609,0.0,0.0,0.0,14.78,2.54,0.0
20160115:1709,0.0,0.0,0.0,14.18,2.51,0.0
20160115:1809,0.0,0.0,0.0,13.58,2.48,0.0
20160115:1909,0.0,0.0,0.0,12.97,2.32,0.0
20160115:2009,0.0,0.0,0.0,12.36,2.16,0.0
20160115:2109,0.0,0.0,0.0,11.75,2.0,0.0
20160115:2209,0.0,0.0,0.0,12.11,1.95,0.0
20160115:2309,0.0,0.0,0.0,12.47,1.91,0.0
20160116:0009,0.0,0.0,0.0,12.83,1.86,0.0
20160116:0109,0.0,0.0,0.0,12.41,2.15,0.0
20160116:0209,0.0,0.0,0.0,12.0,2.43,0.0
20160116:0309,0.0,0.0,0.0,11.58,2.72,0.0
20160116:0409,0.0,0.0,0.0,11.89,2.72,0.0
20160116:0509,0.93,44.26,4.47,12.2,2.73,0.0
20160116:0609,11.42,315.31,15.16,12.51,2.73,0.0
20160116:0709,19.97,533.94,24.48,13.9,2.62,0.0
20160116:0809,27.22,739.97,31.73,15.29,2.51,0.0
20160116:0909,31.36,871.38,36.08,16.68,2.4,0.0
20160116:1009,32.56,909.14,36.78,17.04,2.48,0.0
20160116:1109,31.05,863.54,33.7,17.4,2.57,0.0
20160116:1209,27.04,743.47,27.39,17.76,2.65,0.0
20160116:1309,19.88,539.85,18.73,17.32,2.7,0.0
20160116:1409,9.98,281.88,8.47,16.88,2.75,0.0
20160116:1509,0.0,0.0,0.0,16.44,2.8,0.0
20160116:1609,0.0,0.0,0.0,15.64,2.68,0.0
20160116:1709,0.0,0.0,0.0,14.84,2.55,0.0
20160116:1809,0.0,0.0,0.0,14.03,2.43,0.0
20160116:1909,0.0,0.0,0.0,14.39,2.24,0.0
20160116:2009,0.0,0.0,0.0,14.74,2.06,0.0
20160116:2109,0.0,0.0,0.0,15.09,1.88,0.0
20160116:2209,0.0,0.0,0.0,14.52,1.87,0.0
20160116:2309,0.0,0.0,0.0,13.96,1.87,0.0
20160117:0009,0.0,0.0,0.0,13.39,1.86,0.0
20160117:0109,0.0,0.0,0.0,12.33,2.31,0.0
20160117:0209,0.0,0.0,0.0,11.26,2.75,0.0
20160117:0309,0.0,0.0,0.0,10.2,3.2,0.0
20160117:0409,0.0,0.0,0.0,10.78,3.26,0.0
20160117:0509,1.34,58.65,4.52,11.36,3.32,0.0
20160117:0609,11.58,317.57,15.23,11.95,3.38,0.0
20160117:0709,21.34,568.18,24.58,13.86,3.4,0.0
20160117:0809,27.65,747.17,31.88,15.78,3.43,0.0
20160117:0909,31.79,877.39,36.25,17.7,3.45,0.0
20160117:1009,32.75,912.47,36.98,18.53,3.28,0.0
20160117:1109,31.25,872.46,33.9,19.36,3.11,0.0
20160117:1209,27.32,758.43,27.6,20.19,2.94,0.0
20160117:1309,20.24,558.81,18.93,20.48,2.6,0.0
20160117:1409,10.5,301.7,8.66,20.77,2.26,0.0
20160117:1509,0.0,0.0,0.0,21.05,1.92,0.0
20160117:1609,0.0,0.0,0.0,19.2,2.27,0.0
20160117:1709,0.0,0.0,0.0,17.35,2.62,0.0
20160117:1809,0.0,0.0,0.0,15.49,2.97,0.0
20160117:1909,0.0,0.0,0.0,15.36,4.12,0.0
20160117:2009,0.0,0.0,0.0,15.23,5.28,0.0
20160117:2109,0.0,0.0,0.0,15.09,6.44,0.0
20160117:2209,0.0,0.0,0.0,15.49,7.25,0.0
20160117:2309,0.0,0.0,0.0,15.89,8.05,0.0
20160118:0009,0.0,0.0,0.0,16.29,8.86,0.0
20160118:0109,0.0,0.0,0.0,16.15,9.28,0.0
20160118:0209,0.0,0.0,0.0,16.0,9.71,0.0
20160118:0309,0.0,0.0,0.0,15.86,10.14,0.0
20160118:0409,0.0,0.0,0.0,15.41,10.43,0.0
20160118:0509,0.72,36.18,4.58,14.95,10.72,0.0
20160118:0609,5.11,149.86,15.32,14.5,11.01,0.0
20160118:0709,9.11,248.49,24.7,14.48,11.45,0.0
20160118:0809,13.77,363.97,32.02,14.47,11.89,0.0
20160118:0909,17.06,446.21,36.44,14.45,12.33,0.0
20160118:1009,19.34,503.23,37.18,14.47,12.3,0.0
20160118:1109,22.93,594.22,34.12,14.49,12.28,0.0
20160118:1209,14.45,378.93,27.81,14.51,12.25,0.0
20160118:1309,3.89,117.74,19.13,14.31,12.35,0.0
20160118:1409,0.19,14.27,8.84,14.12,12.45,0.0
20160118:1509,0.0,0.0,0.0,13.92,12.55,0.0
20160118:1609,0.0,0.0,0.0,13.88,12.25,0.0
20160118:1709,0.0,0.0,0.0,13.84,11.95,0.0
20160118:1809,0.0,0.0,0.0,13.8,11.66,0.0
20160118:1909,0.0,0.0,0.0,13.58,11.83,0.0
20160118:2009,0.0,0.0,0.0,13.36,12.01,0.0
20160118:2109,0.0,0.0,0.0,13.14,12.19,0.0
20160118:2209,0.0,0.0,0.0,13.32,12.2,0.0
20160118:2309,0.0,0.0,0.0,13.5,12.21,0.0
20160119:0009,0.0,0.0,0.0,13.68,12.22,0.0
20160119:0109,0.0,0.0,0.0,13.64,12.49,0.0
20160119:0209,0.0,0.0,0.0,13.59,12.76,0.0
20160119:0309,0.0,0.0,0.0,13.55,13.03,0.0
20160119:0409,0.0,0.0,0.0,13.52,12.57,0.0
20160119:0509,0.51,27.08,4.64,13.48,12.11,0.0
20160119:0609,1.72,60.64,15.41,13.45,11.66,0.0
20160119:0709,5.25,152.23,24.82,13.6,11.5,0.0
20160119:0809,10.74,289.28,32.18,13.76,11.34,0.0
20160119:0909,2.62,84.68,36.62,13.91,11.19,0.0
20160119:1009,3.98,119.94,37.4,13.94,10.72,0.0
20160119:1109,17.95,469.73,34.34,13.96,10.26,0.0
20160119:1209,9.46,256.14,28.02,13.99,9.79,0.0
20160119:1309,1.66,58.99,19.33,13.92,8.97,0.0
20160119:1409,3.17,99.43,9.03,13.86,8.16,0.0
20160119:1509,0.0,0.0,0.0,13.79,7.34,0.0
20160119:1609,0.0,0.0,0.0,13.4,6.84,0.0
